"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Epyc",8.38526894607227,8.59406000679891,9.50029558764587,1.29443707667861e-07,3.62858957239602e-05,7.7863397472824
"Agtr2",8.42331272915686,4.66846527663637,9.48499091178777,1.32104549225066e-07,3.62858957239602e-05,7.76808198649029
"Slc18a2",-4.70454287613607,6.62689275136673,-9.4636712586131,1.35908067993553e-07,3.62858957239602e-05,7.74260025096278
"Tmem45a2",-5.09014267397746,6.56565683649509,-9.45150282891083,1.38130788993113e-07,3.62858957239602e-05,7.72803096812912
"Hapln1",9.03562649072847,8.96609204752102,9.42311733483508,1.43466719547517e-07,3.62917664633163e-05,7.69397333895159
"Mex3b",4.01644500457175,8.18811633197879,9.35155336905803,1.57911522316082e-07,3.85191320506728e-05,7.60766222652789
"Col5a1",5.64820488458757,11.6988231145297,9.30928461716005,1.67159772636844e-07,3.88749930162396e-05,7.55638102913723
"Meg3",5.97945985555122,8.00399294672748,9.27657610299388,1.74709120349563e-07,3.88749930162396e-05,7.5165436680767
"Zfp503",4.92360109513229,9.24721414120089,9.25492208700661,1.79904925596832e-07,3.88749930162396e-05,7.49009557321104
"Gp5",-4.80416838680679,10.0858371748921,-9.24581972086498,1.82137595390874e-07,3.88749930162396e-05,7.4789602195014
"AI256396",6.11330356409164,9.64732953177574,9.19489436708208,1.95181731366921e-07,4.03967037950325e-05,7.41646618479338
"Tesc",-4.52170499698735,7.61027341410184,-9.12094520900482,2.15911522824204e-07,4.33728147320387e-05,7.32512725119849
"Nfe2",-4.3698684723586,11.6725201625438,-9.07107872694695,2.31196774905025e-07,4.51163992171806e-05,7.2631367867109
"AI661384",-4.25667858038374,9.43510211312328,-9.03726632338631,2.42209505932199e-07,4.59525257088034e-05,7.22092046719712
"Gp1bb",-5.05742008966582,10.9299243562158,-9.00877627096307,2.51919453618719e-07,4.65029694112393e-05,7.18523400023057
"Lamc1",5.39087863299279,8.42001774982833,8.96208079450945,2.68735078340177e-07,4.83015943437739e-05,7.12651452274365
"Col15a1",6.15513847445218,8.53085136354112,8.88682386506591,2.98381743853468e-07,5.19510436172536e-05,7.0312773017666
"Mfap2",6.00509329408114,9.01910878633222,8.86696977698051,3.06766431238317e-07,5.19510436172536e-05,7.00602764703346
"Fermt3",-3.98791272280973,10.2873552617092,-8.85141018670265,3.1351149059391e-07,5.19510436172536e-05,6.9862031245487
"Cnmd",5.69507132668342,11.7255758664252,8.8360675704727,3.20316202085995e-07,5.19510436172536e-05,6.96662363877985
"Kera",11.0864810036255,9.22532383032148,8.79598091583173,3.38842822695114e-07,5.19510436172536e-05,6.91531947852552
"Tcfl5",5.52450581330096,7.12584069494409,8.76895002941033,3.51972671956749e-07,5.19510436172536e-05,6.88060368238606
"Ppic",5.37861121447486,11.7066382280576,8.75637108042446,3.5826508188601e-07,5.19510436172536e-05,6.86441525542679
"Igf1",6.98977579541575,10.6319690703905,8.75046381646539,3.61261022248937e-07,5.19510436172536e-05,6.85680562336662
"Tubb2b",5.71893668978398,7.5995055669875,8.7446524105813,3.64234197887746e-07,5.19510436172536e-05,6.84931491600745
"Col18a1",5.42347848979467,7.94368181007193,8.7429646678368,3.65102502727404e-07,5.19510436172536e-05,6.84713862472252
"Tubb1",-4.46385537369948,11.2704991028133,-8.70938929225168,3.82838715186621e-07,5.26246790767694e-05,6.80376484655236
"Col16a1",5.06749468912091,9.12646397520352,8.7049582959257,3.85246552538575e-07,5.26246790767694e-05,6.79802943274129
"Tspan32",-3.72882564881245,9.52234760814473,-8.66271556330029,4.09021712767311e-07,5.43700581472079e-05,6.74321836216428
"Serpinf1",4.88472086698153,12.4963066847473,8.65429306582572,4.13944805805975e-07,5.43700581472079e-05,6.73226116906418
"Gpx7",5.87966395952337,9.19812171023939,8.63301795740859,4.2666141775178e-07,5.49829713819746e-05,6.70454074519129
"Fam171a2",5.39199952803103,5.76832646723957,8.6040550041046,4.44640614086922e-07,5.60175389129577e-05,6.66670488746634
"Gpx8",4.84207587309135,10.8245586658451,8.59396157724063,4.51092919504052e-07,5.60175389129577e-05,6.65349255091841
"AI504432",-4.92663691623836,9.23362325980353,-8.57303166043345,4.64789880683518e-07,5.66877658047934e-05,6.62605105512176
"1700097N02Rik",-5.35153879457827,7.06567583297289,-8.54988627074772,4.80449799698809e-07,5.68713870045176e-05,6.59563533702016
"1110006E14Rik",5.7091196612743,5.62926551568588,8.54626657447811,4.82948820828992e-07,5.68713870045176e-05,6.59087202845077
"Dpysl3",4.76798967733057,9.47391687475153,8.48807079641126,5.25068608489912e-07,5.95357915654714e-05,6.5140437066848
"Gp1ba",-4.26175539390463,9.899457804377,-8.48757333419389,5.25444942232044e-07,5.95357915654714e-05,6.5133849707143
