"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slfn1",3.08834058794792,8.16526284015854,4.62875793893672,0.000176812876398022,0.017183817446434,0.936155966251618
"Smurf2",3.43202025215782,8.27417304645431,4.62375811538643,0.000178839580845381,0.017183817446434,0.925786707182785
"4933427G23Rik",2.65165923094374,6.49805000144046,4.59913293480943,0.000189169788809489,0.017183817446434,0.874690400124154
"Ap1s2",2.91330179917806,6.19560725249379,4.59618657439593,0.000190445548816997,0.017183817446434,0.868574016070337
"Traf1",2.82083248212612,6.19983121304019,4.59266472450355,0.000191981914808462,0.017183817446434,0.861262193599985
"Rtp4",3.33422132509154,8.32816453410797,4.58337164908333,0.000196096353903805,0.017183817446434,0.841964539755058
"Olfr385",2.4237177250878,4.15461021890789,4.57876533460621,0.000198168700493059,0.017183817446434,0.83239710189222
"Fam102a",2.65529862584862,7.69763823193562,4.57659866532218,0.000199151111968091,0.017183817446434,0.827896386257733
"Gm10750",2.90518477072279,6.49488842893981,4.57515119657007,0.000199810165430689,0.017183817446434,0.824889458089793
"Nt5dc2",2.45011138564778,6.54509158000091,4.57463123746003,0.000200047448240501,0.017183817446434,0.823809276979317
"Olfr1206",2.41773574937858,4.68104733386568,4.57224844040985,0.000201138484416869,0.017183817446434,0.81885894462919
"Rps3a1",3.81030940594145,10.2412337629867,4.56786056653616,0.000203163368710135,0.017183817446434,0.809742033632037
"C1ra",2.66627342373332,7.10513302052934,4.56538182111508,0.000204316337573717,0.017183817446434,0.804591263075535
"Cbr1",2.60143132873372,6.34611525371339,4.56476244424456,0.000204605467186908,0.017183817446434,0.803304151344247
"Snrpg",3.80850694612342,9.5244755551271,4.56297775138813,0.000205440889482494,0.017183817446434,0.799595286629088
"Prmt2",2.34473964174402,6.39357328773894,4.56011665023829,0.00020678738334905,0.017183817446434,0.793649052354269
"Qtrtd1",2.51136213076654,6.01406162686484,4.5569123373633,0.000208305991972028,0.017183817446434,0.786988896306744
"Lrrtm2",2.44857639151129,6.03702396817836,4.54380209763138,0.000214637590059696,0.017183817446434,0.759732501479712
"Tlr6",2.69947466116522,6.1743044686351,4.54366073780005,0.000214706909269068,0.017183817446434,0.759438553184662
"Ddx60",2.46033648131365,5.86849660157131,4.53233090422055,0.000220336968693577,0.017183817446434,0.735874887189731
"Rnf144a",2.43276640075273,7.51662246674424,4.52702352331884,0.000223025401221963,0.017183817446434,0.724833937075049
"Cks1b",3.3402393449695,9.02159166265452,4.51929934268512,0.00022699737650581,0.017183817446434,0.708762262469491
"Mphosph9",2.43870718238528,5.78914044766146,4.51788015375243,0.000227734893648641,0.017183817446434,0.705808970893653
"Sec61a2",2.79512328562289,6.28389164774546,4.50724161380322,0.000233341100887929,0.017183817446434,0.68366666012979
"A430057M04Rik",2.41807081168518,5.28815902971246,4.50020671533061,0.000237124644785221,0.017183817446434,0.669021062176941
"Eef1e1",3.24263650847002,6.60306951185218,4.49986895344416,0.000237307852170809,0.017183817446434,0.668317820476896
"Atxn7l1",2.41391813886403,7.17068940910083,4.4995639900866,0.000237473391891386,0.017183817446434,0.667682861727243
"Rnf170",2.79906230016861,5.77861446341416,4.49756293720342,0.000238562496520075,0.017183817446434,0.663516372063873
"Fcgr4",2.79894982393929,5.77863886230698,4.49300020851201,0.000241064731235639,0.017183817446434,0.654015231246809
"Mir142",2.49256808793174,4.44398307988359,4.49088075046079,0.000242236054590833,0.017183817446434,0.649601399343527
"Wdyhv1",2.33367347584802,5.93060251964683,4.49079326708238,0.00024228452576794,0.017183817446434,0.649419207212338
"Nsfl1c",3.63009730117048,6.4649319822465,4.48634542836409,0.000244761849826117,0.017183817446434,0.640155604558578
"Aldh1a2",2.61269078027627,6.37883287224537,4.48454030036553,0.00024577453688764,0.017183817446434,0.63639570960788
"Tpd52",2.45507910843883,5.27529015151231,4.48385156202946,0.000246162036807002,0.017183817446434,0.634961090586528
"Gpr171",2.51938899667613,7.01129015838729,4.47715905481345,0.000249959655246733,0.017183817446434,0.621019440315769
"Saa4",2.43789051764483,4.66062472822207,4.47311682709418,0.000252281979379897,0.017183817446434,0.612597577055594
"Rep15",2.3560115585439,6.8635417596709,4.47148774380923,0.000253224059055957,0.017183817446434,0.609203175474308
"Olfr484",2.36504136125675,4.75738352717582,4.46356636579182,0.000257855750229386,0.017183817446434,0.592695917469383
"Tnfsf10",2.18484968101408,6.06210577397393,4.46339293168977,0.000257958109264284,0.017183817446434,0.592334462345879
"Gm17174",2.66494213422562,4.74125287357538,4.45528996227042,0.000262786386911209,0.017183817446434,0.575445215567688
"Rpa3",3.18310887145268,6.18310868068251,4.45513593246214,0.000262879045739802,0.017183817446434,0.575124133044486
"Golm1",2.45704468955173,6.33155261794902,4.45506660485353,0.000262920761508271,0.017183817446434,0.574979615909186
"Slc22a5",2.34333333960479,6.05477606608157,4.45173255478427,0.000264934828002811,0.017183817446434,0.568029309258137
"Gpr65",3.19599489673143,8.194398281755,4.45162611594804,0.000264999382415594,0.017183817446434,0.567807412556284
"Klra3",2.34674674460334,5.50066534088334,4.44564803294569,0.000268650638241204,0.017183817446434,0.555343745558485
"Olfr867",2.1410555733661,5.22188114034442,4.44369464670652,0.000269854682906506,0.017183817446434,0.551270739998219
"Gm10276",2.43221576143147,4.93378103974121,4.43656972361274,0.000274292726479723,0.017183817446434,0.536412898557701
"Zfp27",2.47666107467148,6.19830705106541,4.43258792230464,0.000276804943740233,0.017183817446434,0.528108387263596
"Kmo",2.42375708215169,5.52020796640388,4.42803027514306,0.000279708973368134,0.017183817446434,0.518601901670634
"Akr1e1",2.50885753724864,6.15608392387981,4.42623855304976,0.000280859014364835,0.017183817446434,0.514864386268659
"8030423J24Rik",2.31186461352205,5.79351780568507,4.42259130986629,0.000283214800546833,0.017183817446434,0.50725577919871
"Aagab",2.48528137493155,6.0783587314646,4.42078935706183,0.000284386041457092,0.017183817446434,0.503496437210887
"Slc41a2",2.38234767422194,6.91197707567045,4.41749460112608,0.000286540224959033,0.017183817446434,0.496622308305496
"Tnfrsf9",2.30939478610591,6.01324372959131,4.41144204374315,0.000290540486180697,0.017183817446434,0.483992969813899
"Hacd3",2.72929880657952,6.07388141504168,4.40930810947059,0.000291964233011086,0.017183817446434,0.479539856530892
"Mir383",2.5338319657566,8.20141845506808,4.40392500665354,0.000295587133884996,0.017183817446434,0.468305385417723
"Gm9884",2.7949027260171,5.70897262288884,4.40334280589983,0.000295981668668232,0.017183817446434,0.467090257253535
"Gm4832",2.51925372332729,7.58510222530174,4.40315757740744,0.000296107302079835,0.017183817446434,0.466703658121565
"Ifi44",3.08318153368413,6.90154552417171,4.40115877645112,0.000297466436955419,0.017183817446434,0.46253176374634
"Znrd1",2.52955897575509,7.02677587190802,4.40112441791554,0.000297489854797514,0.017183817446434,0.462460049024464
"Slc39a9",2.26597464455029,6.54889707904338,4.39504844851041,0.000301660426866332,0.017183817446434,0.449777140603132
"Galnt5",2.71617309822048,5.74783007047754,4.39114927471673,0.000304367830310187,0.017183817446434,0.441637152037324
"Fgf7",3.14122072218558,8.93407850392714,4.38009406624839,0.000312177939642913,0.017183817446434,0.418554340669722
"Art2b",2.30306647018616,4.17414246474051,4.37933003517762,0.000312725102582765,0.017183817446434,0.416958873782903
"Chst13",2.18751292472628,6.6032019329045,4.37550817296596,0.000315476680408607,0.017183817446434,0.408977588218652
"Cdkn2aipnl",2.31248567974858,6.660186275901,4.36870264853634,0.000320436900169421,0.017183817446434,0.394763869938669
"Rhoh",2.25461090288669,6.3699224445016,4.36709806434476,0.000321617805664374,0.017183817446434,0.391412314570252
"Eif1b",3.05903789900696,8.04288140209835,4.36592930244607,0.000322480723303237,0.017183817446434,0.388971008200725
"Il1b",2.97387314159644,7.37034407886543,4.36488669184187,0.00032325246927992,0.017183817446434,0.38679315707404
"Gm10468",2.27855846925195,4.88959701975238,4.36420198817818,0.000323760302425301,0.017183817446434,0.385362892615944
"Ost4",3.61525574628969,9.19063590359518,4.36419095827577,0.000323768489691536,0.017183817446434,0.385339852299541
"Vps45",2.69588021450662,5.72948308198901,4.36088969557988,0.000326228344225012,0.017183817446434,0.378443627152906
"Armcx4",2.53836436342177,6.83430048768385,4.35651162303797,0.000329519618723133,0.017183817446434,0.369297276340951
"LOC102642711",2.21097058457853,7.08593778339051,4.35454951700685,0.000331005491358167,0.017183817446434,0.365197928013079
"Il1rl1",2.4710378324796,6.84716627658116,4.35418837919504,0.000331279709862756,0.017183817446434,0.364443400109827
"Fcgr1",2.34170033900095,6.81535416684601,4.34366206241325,0.000339373848224783,0.017183817446434,0.342448346509537
"Fank1",2.34891051342245,5.76716351490922,4.34025535587051,0.000342035837077296,0.017183817446434,0.335328974944295
"Pcdhb3",2.47552064981996,6.0032906680413,4.33649016995801,0.000345002406834619,0.017183817446434,0.327459914885877
"Ifit3",3.47186512549101,8.65017580317991,4.33621940530635,0.000345216736645502,0.017183817446434,0.326894008134087
"Ttc39d",2.30692719406586,5.38782734715589,4.33062105248944,0.000349678401549196,0.017183817446434,0.315192633283353
"Dcbld1",2.29109755964244,5.28438796811588,4.32601515279571,0.000353392616394163,0.017183817446434,0.305564726270054
"Mmaa",2.45993295804417,5.8433780836267,4.32266817868572,0.000356116520262217,0.017183817446434,0.298567899962313
"Senp5",2.42576991257125,6.73556004839307,4.31658049896729,0.000361125214196904,0.017183817446434,0.285840574868846
"Olfr338",2.5600278699354,4.21790443430152,4.31492248338288,0.000362501605230621,0.017183817446434,0.282373975666026
"Cmc2",2.48324421969812,7.06707233815031,4.31485786531765,0.000362555354264747,0.017183817446434,0.282238869391494
"Pgap1",2.89716735205545,5.14631843179475,4.3144845622349,0.000362866023238237,0.017183817446434,0.281458348010455
"Rfc4",2.47805399161912,5.72749760917535,4.31146725669271,0.00036538692862713,0.017183817446434,0.275149423687286
"Ten1",2.56465239085114,6.59430134604904,4.31082455440591,0.000365926167779238,0.017183817446434,0.273805546363499
"Mblac1",2.26845851015426,6.68911593273338,4.31072605999763,0.00036600887715592,0.017183817446434,0.27359959525713
"Pex7",2.32473796084934,6.16040751837119,4.30944186669386,0.000367088984740092,0.017183817446434,0.270914324290015
"Ap2s1",2.68740221597717,7.37075974114711,4.3071852635575,0.000368994741597279,0.017183817446434,0.26619558411513
"Champ1",2.52215403192983,6.81148345600315,4.30714687208119,0.000369027250127202,0.017183817446434,0.266115302854073
"Smyd5",2.1557629321272,5.75025448030426,4.30643803746597,0.000369627984026466,0.017183817446434,0.264633033781495
"Olfr1166",2.77976717876074,5.12477355898121,4.30358605889298,0.000372054982945363,0.017183817446434,0.258668981138348
"Bmp15",2.2899444662979,4.96690051347679,4.30326337422111,0.000372330591459645,0.017183817446434,0.257994165474818
"Casp4",2.93517044732343,7.61558683205147,4.30198649119849,0.000373423207457942,0.017183817446434,0.255323842762265
"5730471H19Rik",2.33916578230625,6.44203467449046,4.3006548514364,0.000374566114957916,0.017183817446434,0.25253894762389
"Tgs1",2.71424437894217,6.6529553527655,4.30011975271631,0.000375026365220679,0.017183817446434,0.251419863470595
"Rpf2",2.11073806158399,6.16564494580581,4.2985233847127,0.000376402820284326,0.017183817446434,0.248081224074643
"Olfr508",2.39086250673158,4.57227573704157,4.29420533735336,0.000380151542913348,0.017183817446434,0.239050033526489
"Fcer1g",3.26144898604392,7.60326079183557,4.29351496976842,0.0003807543600689,0.017183817446434,0.237606071658951
"Mir103-1",2.38850126565283,4.68341013446287,4.29125346634266,0.000382735808908901,0.017183817446434,0.232875834246706
"Herc6",2.74518612097196,6.23357103299096,4.28740216112392,0.000386134089059863,0.017183817446434,0.224819918947558
"Ptdss1",2.45031779046899,6.31993899396701,4.28684053161153,0.000386632184061024,0.017183817446434,0.223645096876039
"Ifit1",2.45089953370974,6.5895851714191,4.28568709886166,0.000387657161898491,0.017183817446434,0.221232302403815
"2810025M15Rik",2.31199145794369,8.31179050396354,4.28462057702206,0.00038860733971439,0.017183817446434,0.219001272552456
"Gm13139",2.72473324003476,5.88746680488411,4.28398916678012,0.000389170974675563,0.017183817446434,0.217680423999802
"Tdgf1",2.30423451055208,5.8555273065273,4.28373754874402,0.00038939581320298,0.017183817446434,0.217154060014749
"Lpar4",2.76235653446934,6.20495846205114,4.27978998255724,0.000392940395529129,0.017183817446434,0.208895810993372
