"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Acan",7.93997936667784,6.73693167367813,4.53038898642102,0.000238171781018838,0.0161479391990832,0.442189085094349
"Prom1",-5.33737838757737,5.26563402610088,-4.52589574391399,0.000240588551329862,0.0161479391990832,0.434175337182266
"Lipe",-6.40003337813075,7.0444738276652,-4.51690204213972,0.000245500782114514,0.0161479391990832,0.41812848194306
"Fasn",-6.1452115496586,8.08295142129153,-4.49054049669891,0.00026049166748362,0.0167912928859942,0.371044073155257
"Thrsp",-10.39849360977,9.1164807913943,-4.47808634623899,0.000267892665077868,0.0169297658734503,0.348774488715318
"Matn4",-10.5852423480884,9.37852904312635,-4.43642979521409,0.000294227911995253,0.0182364723146289,0.274172714917886
"Ltf",5.20767006259157,6.08924329879052,4.42468541118359,0.000302115025544621,0.0183720137232134,0.253108736965944
"Cdh13",-7.61275523654668,7.66768447790039,-4.41335841024652,0.000309924144815275,0.0184978799766598,0.232780616931625
"Cdo1",-10.6478823183995,7.54792504237775,-4.34095380414478,0.000364892434823698,0.0212610048620153,0.102553308691356
"Dkk3",5.11574083788671,6.93618544821196,4.32921227224868,0.00037469141360251,0.0212610048620153,0.0813900074756733
"Fez1",-3.9912021753045,6.57325113791072,-4.32739862922842,0.000376228488678153,0.0212610048620153,0.0781199605329128
"Rasd1",-11.1125175640681,7.39450687411335,-4.31738259121889,0.000384832388307719,0.0212610048620153,0.0600556181647081
"S100b",-4.75616988745738,6.29658861169815,-4.31238148200839,0.000389202385001212,0.0212610048620153,0.0510326627846984
"Asprv1",5.39194894015506,6.99917240354977,4.29158022541451,0.000407921948198364,0.0219122073173888,0.0134803761174878
"Map3k6",-5.33949212613414,7.2885745298952,-4.26898652041177,0.000429284294986129,0.022681693159677,-0.0273486674735244
"Scd1",-7.77157223485987,10.9655794589806,-4.25447371777982,0.000443597072714358,0.0230598929896512,-0.0535965938447438
"Ces1d",-6.52616698387556,7.3077224348695,-4.19836935553015,0.00050359575592302,0.0257633193863475,-0.155221066686178
"Arg1",15.2330639926893,6.90545300317072,4.17885661697015,0.000526324017449681,0.0262176329373691,-0.190620117128656
"Efnb2",-6.23272054397617,6.5331659668395,-4.17682803174429,0.000528745312109523,0.0262176329373691,-0.194301829730168
"Chst2",-7.65517963710485,5.89606884333294,-4.15445720772746,0.000556201169195878,0.0269186378038418,-0.234921920959059
"Fcna",-4.54000169066436,6.24520352005187,-4.15177570636667,0.000559586947830406,0.0269186378038418,-0.239793180124224
"Coch",-11.2034307124815,4.87752365452438,-4.05543160415479,0.000696001777528516,0.0329884371908001,-0.415114690024148
"Ptgis",-6.56854468410478,7.38128393970647,-4.03805112816981,0.000723951456851838,0.0335120385449654,-0.44680018301605
"Tfpi2",5.04695532221512,5.14011617219094,4.03568380114191,0.000727844461106912,0.0335120385449654,-0.451117182017716
"Irf3",-4.58364831010557,3.66769524964165,-4.02704206198944,0.000742234526449495,0.0336558336267778,-0.466878509406338
"Cpq",-6.17013849040759,6.80171221309984,-4.02135935802926,0.000751852318066399,0.0336558336267778,-0.477245048279054
"Hdc",6.6525711893558,6.66819552343832,4.01234691235548,0.000767362325611722,0.0338795722663915,-0.493689102973113
"Polr2e",-3.95599587782261,4.12467097088312,-3.97025501944915,0.000844153251706602,0.0367662963547348,-0.570540737263677
"Tspan6",5.85745148392685,5.43820788932722,3.94457392923835,0.000894736076194488,0.0380833665884744,-0.617467608283934
"Cd93",4.17960065049411,9.24549608660761,3.94295459048413,0.000898025398921519,0.0380833665884744,-0.620427511972312
"Fxyd3",-4.60096576502613,5.2018265895353,-3.93225524970748,0.000920064762270226,0.038511282192168,-0.639986828069921
"Atp2a3",-4.46974609197432,9.0783086194508,-3.92128112453186,0.0009432321727313,0.0389748370860639,-0.660052954436546
"Cd300c2",6.8493407224246,8.25870692552277,3.91484824064613,0.000957082804851126,0.0390465554434833,-0.671817479979602
"Fabp5",4.0780749429262,7.83940333595056,3.88919626144084,0.00101436516581308,0.0408662366176946,-0.718744169652237
"Fpr2",4.0658736818728,3.77127969123781,3.88250725119582,0.00102985706032544,0.040978139573196,-0.730984268131895
"Scg5",-4.10955137818067,3.18320514145277,-3.87253579812308,0.0010533909507318,0.0414034028562022,-0.749233358382039
"Top2a",5.68931851970108,5.88769800124726,3.85200724150861,0.00110354512261653,0.0424893519160265,-0.786812230090399
"Adora1",-4.80714405562578,3.7204250816877,-3.85047367530965,0.00110738614984369,0.0424893519160265,-0.789619975859946
"Cdk1",5.4161198026304,6.57132957812882,3.84032353812903,0.00113314712416078,0.0429662727196493,-0.8082049484552
"Cmtm8",-4.84642130191644,6.68558966070337,-3.82309529593777,0.00117824820180643,0.0441569064467691,-0.83975554730914
"Ramp2",-5.62574691700097,8.31087801176312,-3.78520027329062,0.00128384961338131,0.0475614632635399,-0.9091749568337
"Itga6",-9.45423074938471,5.91339191981047,-3.76276453534667,0.0013507620665891,0.049471660688826,-0.950285616476688
"Lamb2",-7.64205929397845,8.82476852075922,-3.74434511343463,0.00140828354441066,0.0509988524003996,-0.984041367655956
"Folr2",-3.92749952961132,7.70452018782494,-3.72857529834386,0.00145946345625495,0.0519192730214027,-1.01294378662376
"D17H6S56E-5",6.10542278560546,5.36378261976229,3.7266256669739,0.00146591804062912,0.0519192730214027,-1.01651712785873
"Gpx3",-7.17035204419364,8.21891043309823,-3.69965978340586,0.00155816008334362,0.0545864124849619,-1.06594269330022
"Pradc1",-6.3078405482177,5.28616126794012,-3.64697078982965,0.00175536041973639,0.0608336197076386,-1.16251550087292
"Ephx1",-5.9277081628128,8.62773223974575,-3.63277557080221,0.00181260078077642,0.0609575353081253,-1.18853103867338
"Ryk",4.54040978670161,7.13176483771947,3.63078423749929,0.0018207773160759,0.0609575353081253,-1.1921803951488
"Mrvi1",-4.03491047200464,5.89700034105155,-3.63066274161153,0.00182127736821875,0.0609575353081253,-1.19240304954329
"Angptl4",6.25060381980736,8.42565960936894,3.62744052592041,0.00183458917930132,0.0609575353081253,-1.19830805087701
"Vmp1",7.65316496564784,8.58345664323072,3.61413908931999,0.00189056991444053,0.0621766003494064,-1.22268283416393
"F5",3.39726368149594,4.39833753893539,3.60544211868624,0.001928084618357,0.0626624917040564,-1.23861869250809
"1700017B05Rik",4.76187686888073,7.20315473193419,3.59711666760424,0.0019646877598733,0.0626624917040564,-1.25387272568265
"Itgb4",-5.31579860118708,7.01499596442747,-3.59483523957125,0.00197483780080099,0.0626624917040564,-1.25805259977164
"Calml4",-5.20995791530016,6.49883617327667,-3.59246136790921,0.00198545428822816,0.0626624917040564,-1.26240174830009
"Cstb",4.71867959579069,10.1002793136144,3.58866379956046,0.00200255558346814,0.0626624917040564,-1.26935903240251
"Lep",-4.56775518362034,8.97717552306132,-3.55809080737157,0.00214565449124008,0.0664946579352574,-1.3253594614611
"Sparcl1",-7.38402052051138,7.59764086477319,-3.54513716508462,0.00220929616481873,0.0672277499909362,-1.34908019564401
"Csf3r",4.56895622251718,7.16403074608739,3.54478995908109,0.00221102745859114,0.0672277499909362,-1.34971594126638
"Ghrl",5.62617710717586,4.41547847964139,3.53536788808946,0.00225852516180462,0.0680301551074419,-1.36696682922067
"Clu",-6.42823811107127,7.9261624080303,-3.49553831865446,0.00247070986636794,0.0737323879565172,-1.4398615141361
"Syt17",3.27868440364443,5.08967523262045,3.47302998520129,0.00259920795434645,0.0768554792372348,-1.48103129677285
"Itih2",-3.71402242689993,5.96893485046442,-3.45220896095406,0.00272393615092062,0.079775019878163,-1.51909688075818
"Aoc3",-5.24128478275547,8.05879537266767,-3.44838958736423,0.00274744871438911,0.079775019878163,-1.52607754975649
"Uck2",4.27147315613121,7.02086667158499,3.4391079569073,0.00280542519065257,0.0798910577297476,-1.54303884333706
"Slc10a6",-5.24918837735821,7.41377384031193,-3.43400757235796,0.0028377959601511,0.0798910577297476,-1.55235761096824
"Plac8",3.99245078189027,6.8632224859429,3.43382536000822,0.00283895920049527,0.0798910577297476,-1.55269050322519
"Prc1",3.95560380919969,6.84044299530733,3.43200655296868,0.0028505962267828,0.0798910577297476,-1.55601327993527
"Limch1",-6.88750801437373,7.42950290430394,-3.42272920436459,0.0029106897777037,0.080872009944302,-1.57295956290942
"Slc29a1",5.37629103814116,5.77191717914982,3.41518099819377,0.00296050257756088,0.0815529898075104,-1.58674418465473
"Lpl",-4.01092038358039,3.73970973186957,-3.40043098925048,0.0030602783584409,0.083587094485212,-1.61367229661099
"Itpr2",-5.25685151373032,8.43430763331062,-3.36852003183384,0.0032876053190832,0.0890416129697913,-1.67188868752838
"Sncg",-7.33615209365783,6.33835018639526,-3.36123522321456,0.00334178577915627,0.089754796385172,-1.68517019517748
"Cst3",-6.12769339041344,8.1540969919025,-3.35425242940586,0.00339454382303762,0.090418303650002,-1.69789796935377
"Sorbs1",-4.55185917912029,7.34282962466807,-3.34923941715929,0.0034329234169418,0.0906910833836346,-1.7070334408783
"Cpe",-11.64400428625,8.85964897761656,-3.3287404799552,0.00359434969775082,0.0941836510231781,-1.74437246637971
"Pcsk5",6.25907049644974,7.19148782818341,3.32161345174612,0.00365220273464412,0.0949278178528871,-1.75734770292111
"Mmp8",3.54535918859495,4.36793212825382,3.31641354355942,0.00369498852037083,0.0949341307970677,-1.76681222575913
"Ltbp4",-4.75033296016989,8.01362422686889,-3.31443996032235,0.00371135602867841,0.0949341307970677,-1.77040390245997
"Adrm1",-3.7393973915069,4.84031113384121,-3.30397266710998,0.0037993612581625,0.0954080931010928,-1.78944833599139
"Tle1",-4.97716256510832,4.87431746770242,-3.30054234499646,0.00382864527730909,0.0954080931010928,-1.79568777989426
"Hif1a",5.2335852710162,10.9459546137595,3.29890048337811,0.00384273979982865,0.0954080931010928,-1.79867386426369
"Mknk2",-3.80962345093007,7.38718816097281,-3.29675383127563,0.00386124449670244,0.0954080931010928,-1.80257771316275
"Ifitm1",3.05235072790804,5.18415881149521,3.29360360054075,0.0038885586768603,0.0954080931010928,-1.80830601080818
"Pclaf",4.61225928949278,5.58685720967455,3.2914319069804,0.00390749869356011,0.0954080931010928,-1.81225451915022
"Tmx2",-4.76261989136096,7.41693370943316,-3.28701181247779,0.00394632763272382,0.095631683911796,-1.82028987653614
"Scg3",-4.85196800066902,3.85816483954908,-3.26787058221182,0.00411888864169939,0.0990684932253518,-1.85506915820856
"Cpa3",-3.416547547523,3.93329169275078,-3.25646785231044,0.00422517819761297,0.100872217265975,-1.87577349035645
"Amy1",-6.60295015533901,5.2954061352298,-3.2433636477713,0.00435064809565487,0.103103961855115,-1.89955361682189
"Arl4a",-4.25305344506791,7.49075881732682,-3.23114523263892,0.00447091892485829,0.105180815290644,-1.92171275445663
"Cyb561",-3.52256338310826,8.93516825345675,-3.21738844980597,0.00461022819899648,0.107378289453632,-1.94664568468429
"Actn1",4.47676067362525,10.1481968570547,3.21286805140925,0.00465692449075655,0.107378289453632,-1.95483466757737
"Pnpla2",-3.93001634821956,8.25922269998503,-3.21216046595828,0.00466427568213107,0.107378289453632,-1.9561163284282
"Enpp1",4.33864944475921,8.06041547120498,3.20678759896143,0.00472046643693381,0.107901158342111,-1.96584673689
"Ccl3",3.53641563253857,5.29440891966517,3.19682836371694,0.00482637791696855,0.109545183284434,-1.98387583927789
"Fam132a",-3.72985462808469,5.46816241303843,-3.18852274019138,0.004916476914147,0.11058697292671,-1.99890399376948
"Nes",-3.32725342555585,7.22703952569371,-3.18629685759977,0.00494090105536648,0.11058697292671,-2.00293032827203
"Myoc",-6.14771275468396,9.34706437188444,-3.16641219857356,0.00516441425188566,0.114439906107955,-2.03887672339135
"Cxcl1",8.0194879731817,6.76088594508758,3.16181701772783,0.0052174536717716,0.114439906107955,-2.04717779603214
"Slc1a5",-5.25666050366783,6.60982721845388,-3.16125846509662,0.00522393683163342,0.114439906107955,-2.04818665429224
"Ang",-3.52955423900761,6.05297052913283,-3.15707528752323,0.00527274177916997,0.114439906107955,-2.05574125682699
"Hmox1",3.19725325425215,8.38292149865802,3.15306161524475,0.00531998713791968,0.114439906107955,-2.06298797806927
"Il13ra1",5.50491202008599,6.78494927759593,3.15158661721089,0.0053374530493282,0.114439906107955,-2.06565066324894
"Rras",-5.20650318067403,7.30909045908945,-3.14850164608418,0.00537416415966665,0.114439906107955,-2.07121892832537
"Rarres2",-5.87153314928435,8.46445294823052,-3.14658435474098,0.00539710385616171,0.114439906107955,-2.07467904893123
"Hsp90ab1",5.72245635838519,6.67816935552555,3.13634333749384,0.00552126024160968,0.116307331756261,-2.09315406509205
