"","D01.CEL","D02.CEL","D03.CEL","D04.CEL","D11.CEL","D12.CEL","D31.CEL","D32.CEL","D33.CEL","D71.CEL","D72.CEL","D73.CEL","D74.CEL","D121.CELL","D122.CEL","D123.CEL","D181.CEL","D182.CEL","D183.CEL","Symbol"
"100016_at",5.4393108247674,5.12092331222177,5.39665724015821,5.65506865161765,5.38567648784632,5.23948159522049,5.31762223804575,5.49440366637707,5.15851602778993,5.34026235573293,5.45331860076939,5.38921516232826,5.40394616708045,5.69903677164233,5.54731842927866,5.43514879541323,5.65065547613693,5.63052214156014,5.78546959379873,"Mmp11"
"100017_at",5.49950845159322,6.36267708117551,5.65404808677736,5.25945822577106,5.83360270830158,5.09074308949097,5.00554098637496,5.40505017126914,5.74678694354815,5.1078953018183,4.88439525651171,5.00405738897958,5.4019715405301,4.89404841411955,4.92276256792362,4.98222425922961,5.54277487727964,5.58664287197105,5.47618502654894,"Mybph"
"100018_at",7.11331687641378,6.9913346959018,7.06477955068919,6.99438889215105,7.01742715176767,6.80940802041913,6.99064182500949,7.08489595694284,7.1117780827613,6.99339370051297,6.92866500078201,7.10632051008567,7.03158590856094,7.00915042922875,7.12030210940258,7.13198594726634,7.01463222679943,7.07746011403257,7.04317610448514,"Mtf1"
"100019_at",6.83813310409195,8.44170618175131,7.43681185593964,8.04997040905479,7.72339369586265,7.98668014493772,7.75553685766578,8.12353652513677,8.18160568641321,8.39176922410429,9.20446224269796,9.1261356282661,8.99073279455041,8.52239236237814,9.36522879387524,9.38861822262736,8.97890548412255,8.74045088922929,8.55196388517637,"Vcan"
"100020_at",7.47769842081168,7.35180033995803,7.2224847180416,7.275612871933,7.4154725268349,7.31979295204595,7.47259889278681,7.29896425263656,7.08114647136604,7.36317977564374,7.25409625915838,6.74122726954087,6.97068242299936,7.36847588465762,7.1255484746893,7.04212089090117,7.260828736914,7.28623612881451,7.14715430013283,"Slc4a2"
"100021_at",3.65986923219552,3.77041663882336,4.1827032065607,3.79934926067719,3.98779814884782,3.80211874631708,4.19916291478192,3.98163397541964,4.25851000912845,3.5927273874174,3.70011043728015,3.83416341438702,3.9194541740628,3.55900672535204,3.66438152878689,3.51375837087926,3.62653425934674,3.67719150223665,3.71302057488243,"Chrna1"
"100022_at",6.87141008738259,6.62864157768695,6.61356267725454,6.87817512123292,6.63394581687565,6.33769989250999,6.42112736026235,6.74821257810637,6.65683736600066,6.57163239224776,6.70495233997467,6.59797489873663,6.85099317114785,6.42922300673271,6.66961982593941,6.74266258058303,6.618843956107,6.84911057942958,6.86167670116248,"Cish"
"100023_at",6.48925853497074,6.13813783110425,6.41660803024141,6.46295566557118,6.06765911444545,6.2392669931942,6.50283522448566,6.5197026955499,6.52981566630866,6.49421574011149,6.45334370401328,6.51304413077968,6.59404047534953,6.22855885713597,6.41670404554191,6.62724594298226,6.44686298702726,6.34994761860144,6.4553629226264,"Mybl2"
"100024_at",5.16622338199372,5.77407546554017,5.20384531382494,5.11789355963055,5.50053470557239,5.41160406563885,5.39953199641952,5.72930598271727,5.66324163539368,5.27029817594164,5.33403774379608,6.43311060399441,5.07217084788057,5.5393464936522,5.75415482220183,5.3289937756579,5.09415312138074,4.91084604787041,5.32131167452639,"Shroom3"
"100026_at",7.57962701160629,7.28788066883221,7.77720736962428,7.79096244882897,7.4640328895702,7.39320063495806,7.56706017999922,7.60497561944305,7.765983623067,7.85891301527207,8.04963447214087,7.87869507925508,8.23196616121515,7.79880254807155,7.94492022755221,8.04463243561874,7.77834433696382,7.74723615926946,8.12185752736227,"Bcat1"
"100027_s_at",8.25905507832556,7.9146831642993,7.98231305475254,7.98044104864226,8.08602513366845,7.95733335831695,8.24115970694505,8.01754043840083,7.95672714038546,8.14014072708724,7.91885708923052,7.81318703868327,7.81987730833315,7.85593331038797,8.03621911153168,7.80980026779196,7.922609083897,7.95700312427426,8.00550019533671,"Pex14"
"100030_at",6.30463995688682,6.29778106558526,6.4730031585659,6.41857402969634,6.49520968270284,5.99343863961763,6.7129820463496,6.47860591738673,6.2705873836051,6.97472640015652,6.47221211122605,6.39806514619829,6.4229736549532,6.72750052967208,6.64328461485892,6.50613448312911,6.5319874943646,6.68759629894735,6.51046859373692,"Upp1"
"100032_at",7.10464163504797,6.73307696657596,6.73435776749463,6.64287660450162,7.42647232944771,6.51591899050754,7.62921665723077,6.68770008338338,5.99247854551737,7.61244670972208,6.69060856246232,6.38670870127657,7.41867119751101,6.83086463507444,6.73397703730688,6.04386583754975,6.22426394916592,6.50913509915422,6.76815680489859,"Sp1"
